Product Name,ASIN,Brand,Price,Reviews Count,Reviews Rate,BSR
Apple AirTag,B0933BVK6T,Apple,29.00,0,4.7,"38,543"
Apple AirTag 4 Pack,B0932QJ2JZ,Apple,99.00,0,4.7,"14,645"
"LandAirSea 54 GPS Tracker, - USA Manufactured, Waterproof Magnet Mount. Full Global Coverage. 4G LTE Real-Time Tracking for Vehicle, Asset, Fleet, Elderly and more. Subscription is required, Black",B06XVZ6Y4T,LandAirSea,29.66,75,4.1,"13,225"
"Tile Mate (2022) 1-Pack, Black. Bluetooth Tracker, Keys Finder and Item Locator; Up to 250 ft. Range. Up to 3 Year Battery. Water-Resistant. Phone Finder. iOS and Android Compatible, 1 Pack, Black",B09998MBFM,Tile,24.99,106,4.6,"8,151"
"Tracki 2022 model 4G LTE Mini GPS Tracker magnetic. Unlimited distance US &worldwide. For Vehicles, Car, Kids, Elderly, Dogs, Motorcycle. Small Portable real time Tracking Device. Monthly fee required",B07N4DHFZM,Tracki,16.88,146,4.1,"28,609"
"Tile Slim (2022) 1-Pack. Thin Bluetooth Tracker, Wallet Finder and Item Locator for Wallet, Luggage Tags and More; Up to 250 ft. Range. Water-Resistant. Phone Finder. iOS and Android Compatible.",B09B2NYJ3T,Tile,34.99,197,4.6,"3,820"
"Tile Mate Essentials (2022) 4-Pack (2 Mate, 1 Slim, 1 Stickers)- Bluetooth Tracker & Item Locators for Keys, Wallets, Remotes & More; Easily Find All Your Things.",B09B2YYD7W,Tile,79.99,318,4.6,"3,820"
Apple AirTag Leather Key Ring - (Product) RED,B0932MQJZR,Apple,33.97,0,4.5,"6,710"
"Garmin 010-02064-00 Instinct, Rugged Outdoor Watch with GPS, Features Glonass and Galileo, Heart Rate Monitoring and 3-Axis Compass, Graphite",B07HYX9P88,Garmin,1.00,361,4.7,"17,249"
"Tile Slim (2020) 1-pack - Slim & Sleek Bluetooth Tracker, Item Locator and Finder for Wallets, Passports and Electronic Devices and More; Waterproof with Built-in 3 year battery",B07WLYYP9R,Tile,22.49,392,4.6,"18,909"
Spytec GPS GL300 Real-Time GPS Tracker for Vehicles Cars Trucks Loved Ones Asset Tracker with App and Weatherproof Magnetic Case,B00L2KBB8C,Spy Tec,59.95,433,4.3,"1,525"
"Garmin Drive 52, GPS Navigator with 5” Display, Simple On-Screen Menus and Easy-to-See Maps",B07MMZNLHG,Garmin,99.99,478,4.5,"9,403"
"CarlinKit 3.0 Wireless CarPlay Adapter USB for Factory Wired CarPlay Cars (Model Year: 2019 to 2021), Wireless CarPlay Dongle Convert Wired to Wireless CarPlay",B08P1GWQDB,Carlinkit,120.00,589,3.7,"2,303"
"4 Pack Silicone Case for Airtags with Keychain, Protective Cover for Apple Air tag Key Finder Tracker, Pet Dog Itag Collar Necklace, Airtag Accessories Holder",B096FDY1Q7,ThingsBag,12.99,596,4.5,"1,528"
"Tile Mate (2022) 2-Pack. Bluetooth Tracker, Keys Finder and Item Locator for Keys, Bags and More; Up to 250 ft. Range. Water-Resistant. Phone Finder. iOS and Android Compatible.",B09B2XXBFR,Tile,47.99,632,4.6,"8,151"
"Spytec GPS GL300 GPS Tracker for Vehicles, Cars, Trucks, Motorcycles, Loved Ones and Asset Tracker with Real-Time Tracking and App",B07S7DVT33,Spy Tec,39.95,641,4.1,"11,023"
"Garmin DriveSmart 65, Built-In Voice-Controlled GPS Navigator with 6.95” High-Res Display , Black",B07MN61RKT,Garmin,14.00,702,4.5,"9,403"
"Bushnell Wingman GPS Speaker , Black",B08D8D73PD,Bushnell,127.00,709,4.7,"2,653"
