2023-02-03 03:36:53 [INFO] [SUCCESS]	[ID: 484522]  Title: Moncler jacket  	Price:83.88$	Link:https://bit.ly/3YfcMwe	Aff_link:https://s.click.aliexpress.com/e/_EyuI0iD	Saved-> 	Images files:['484522', '484521', '484520', '484519', '484518', '484517', '484516', '484515', '484514', '484513']	img count: 9
2023-02-03 03:37:02 [ERROR] [FAILED]	[ID: 484512]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484511', '484510', '484509', '484508', '484507', '484506', '484505', '484504']	img count: 17
2023-02-03 03:37:08 [ERROR] [FAILED]	[ID: 484503]  Title: Coach REVEL BAG 	Price:69.54$	Link:https://bit.ly/40j1xV5	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484502', '484501', '484500', '484499', '484498', '484497']	img count: 23
2023-02-03 03:37:17 [INFO] [SUCCESS]	[ID: 484496]  Title: Nike Air Presto x  	Price:57.60$	Link:https://bit.ly/3Jq70DD	Aff_link:https://s.click.aliexpress.com/e/_EHV3WLx	Saved-> 	Images files:['484495', '484494', '484493', '484492', '484491', '484490', '484489', '484488', '484487']	img count: 32
2023-02-03 03:37:25 [ERROR] [FAILED]	[ID: 484486]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484485', '484484', '484483', '484482', '484481', '484480', '484479']	img count: 39
2023-02-03 03:37:32 [INFO] [SUCCESS]	[ID: 484478]  Title: Ralph Lauren Sweat 	Price:41.28$	Link:https://bit.ly/3jl25cN	Aff_link:https://s.click.aliexpress.com/e/_EuiAbCv	Saved-> 	Images files:['484477', '484476', '484475', '484474', '484473', '484472', '484471']	img count: 46
2023-02-03 03:37:40 [INFO] [SUCCESS]	[ID: 484470]  Title: Chloe sunglasses 	Price:26.40$	Link:https://bit.ly/3Y5nzJk	Aff_link:https://s.click.aliexpress.com/e/_ExzuKEh	Saved-> 	Images files:['484469', '484468', '484467', '484466', '484465', '484464', '484463', '484462']	img count: 54
2023-02-03 03:37:48 [ERROR] [FAILED]	[ID: 484461]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484460', '484459', '484458', '484457', '484456', '484455', '484454']	img count: 61
2023-02-03 03:37:55 [ERROR] [FAILED]	[ID: 484453]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484452', '484451', '484450', '484449', '484448', '484447']	img count: 67
2023-02-03 03:38:02 [INFO] [SUCCESS]	[ID: 484446]  Title: Dyson hair dryer h 	Price:156$	Link:https://bit.ly/3Y0ITzM	Aff_link:https://s.click.aliexpress.com/e/_EGjieF3	Saved-> 	Images files:['484445', '484444', '484443', '484442', '484441', '484440', '484439']	img count: 74
2023-02-03 03:38:19 [INFO] [SUCCESS]	[ID: 484438]  Title: Adidas Originals H 	Price:54$	Link:https://bit.ly/3Re3GNX	Aff_link:https://s.click.aliexpress.com/e/_ExJkRAV	Saved-> 	Images files:['484437', '484436', '484435', '484434', '484433', '484432', '484431', '484430', '484429']	img count: 83
2023-02-03 03:38:28 [ERROR] [FAILED]	[ID: 484428]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484427', '484426', '484425', '484424', '484423', '484422', '484421', '484420', '484419']	img count: 92
2023-02-03 03:38:34 [ERROR] [FAILED]	[ID: 484418]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484417', '484416', '484415', '484414', '484413']	img count: 97
2023-02-03 03:38:41 [INFO] [SUCCESS]	[ID: 484412]  Title: Louis Vuitton LV Q 	Price:26.38$	Link:https://bit.ly/3HSiZZu	Aff_link:https://s.click.aliexpress.com/e/_Exzt4OZ	Saved-> 	Images files:['484411', '484410', '484409', '484408', '484407']	img count: 102
2023-02-03 03:38:50 [INFO] [SUCCESS]	[ID: 484406]  Title: RADO watch good qu 	Price:56.28$	Link:https://bit.ly/3YbR7Fb	Aff_link:https://s.click.aliexpress.com/e/_Ey5WIvn	Saved-> 	Images files:['484405', '484404', '484403', '484402', '484401', '484400', '484399', '484398', '484397']	img count: 111
