2023-02-03 03:52:57 [ERROR] [FAILED]	[ID: 484522]  Title: Ralph Lauren RL sw 	Price:60.88$	Link:https://bit.ly/3RnWoal	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484522', '484521', '484520', '484519', '484518', '484517', '484516', '484515', '484514', '484513', '484512', '484512']	img count: 9
2023-02-03 03:53:05 [INFO] [SUCCESS]	[ID: 484512]  Title: Moncler jacket  	Price:83.88$	Link:https://bit.ly/3YfcMwe	Aff_link:https://s.click.aliexpress.com/e/_Eu4gzo1	Saved-> 	Images files:['484511', '484510', '484509', '484508', '484507', '484506', '484505', '484504', '484503', '484503']	img count: 17
2023-02-03 03:53:13 [ERROR] [FAILED]	[ID: 484503]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484502', '484501', '484500', '484499', '484498', '484497', '484496', '484496']	img count: 23
2023-02-03 03:53:20 [ERROR] [FAILED]	[ID: 484496]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484495', '484494', '484493', '484492', '484491', '484490', '484489', '484488', '484487', '484486', '484486']	img count: 32
2023-02-03 03:53:28 [INFO] [SUCCESS]	[ID: 484486]  Title: Nike Air Presto x  	Price:57.60$	Link:https://bit.ly/3Jq70DD	Aff_link:https://s.click.aliexpress.com/e/_EHSkDCp	Saved-> 	Images files:['484485', '484484', '484483', '484482', '484481', '484480', '484479', '484478', '484478']	img count: 39
2023-02-03 03:53:34 [ERROR] [FAILED]	[ID: 484478]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484477', '484476', '484475', '484474', '484473', '484472', '484471', '484470', '484470']	img count: 46
2023-02-03 03:53:43 [INFO] [SUCCESS]	[ID: 484470]  Title: Ralph Lauren Sweat 	Price:41.28$	Link:https://bit.ly/3jl25cN	Aff_link:https://s.click.aliexpress.com/e/_EydnbY1	Saved-> 	Images files:['484469', '484468', '484467', '484466', '484465', '484464', '484463', '484462', '484461', '484461']	img count: 54
2023-02-03 03:53:51 [INFO] [SUCCESS]	[ID: 484461]  Title: Chloe sunglasses 	Price:26.40$	Link:https://bit.ly/3Y5nzJk	Aff_link:https://s.click.aliexpress.com/e/_EItZqjx	Saved-> 	Images files:['484460', '484459', '484458', '484457', '484456', '484455', '484454', '484453', '484453']	img count: 61
2023-02-03 03:53:57 [ERROR] [FAILED]	[ID: 484453]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484452', '484451', '484450', '484449', '484448', '484447', '484446', '484446']	img count: 67
2023-02-03 03:54:03 [ERROR] [FAILED]	[ID: 484446]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484445', '484444', '484443', '484442', '484441', '484440', '484439', '484438', '484438']	img count: 74
2023-02-03 03:54:19 [INFO] [SUCCESS]	[ID: 484438]  Title: Dyson hair dryer h 	Price:156$	Link:https://bit.ly/3Y0ITzM	Aff_link:https://s.click.aliexpress.com/e/_Ewfxg6h	Saved-> 	Images files:['484437', '484436', '484435', '484434', '484433', '484432', '484431', '484430', '484429', '484428', '484428']	img count: 83
2023-02-03 03:54:29 [INFO] [SUCCESS]	[ID: 484428]  Title: Adidas Originals H 	Price:54$	Link:https://bit.ly/3Re3GNX	Aff_link:https://s.click.aliexpress.com/e/_Ewd1rqN	Saved-> 	Images files:['484427', '484426', '484425', '484424', '484423', '484422', '484421', '484420', '484419', '484418', '484418']	img count: 92
2023-02-03 03:54:33 [ERROR] [FAILED]	[ID: 484418]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484417', '484416', '484415', '484414', '484413', '484412', '484412']	img count: 97
2023-02-03 03:54:38 [ERROR] [FAILED]	[ID: 484412]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484411', '484410', '484409', '484408', '484407', '484406', '484406']	img count: 102
2023-02-03 03:54:49 [INFO] [SUCCESS]	[ID: 484406]  Title: Louis Vuitton LV Q 	Price:26.38$	Link:https://bit.ly/3HSiZZu	Aff_link:https://s.click.aliexpress.com/e/_Evwcgzf	Saved-> 	Images files:['484405', '484404', '484403', '484402', '484401', '484400', '484399', '484398', '484397', '484396', '484396']	img count: 111
2023-02-03 03:54:58 [INFO] [SUCCESS]	[ID: 484396]  Title: RADO watch good qu 	Price:56.28$	Link:https://bit.ly/3YbR7Fb	Aff_link:https://s.click.aliexpress.com/e/_EzPl9aN	Saved-> 	Images files:['484395', '484394', '484393', '484392', '484391', '484390', '484389', '484388', '484387', '484386', '484386']	img count: 120
2023-02-03 03:55:05 [ERROR] [FAILED]	[ID: 484386]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484385', '484384', '484383', '484382', '484381', '484380', '484379', '484378', '484377', '484376', '484376']	img count: 129
2023-02-03 03:55:10 [ERROR] [FAILED]	[ID: 484376]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484375', '484374', '484373', '484372', '484371', '484370', '484370']	img count: 134
