2023-02-07 18:33:04 [ERROR] [FAILED]	[ID: 487017]  Title: Follow secrect bra 	Price:$	Link:https://t.me/joinchat/FVE33KPWkWBlMDIy	Aff_link:No Ali Express link detected	Saved-> 	Images files:['487017']	img count: 0
2023-02-07 18:33:08 [INFO] [SUCCESS]	[ID: 487016]  Title: SUPREME         	Price:33$	Link:https://bit.ly/3G2mAlz	Aff_link:https://s.click.aliexpress.com/e/_EHj08kv	Saved-> 	Images files:['487016', '487015', '487014', '487013', '487012', '487011', '487010']	img count: 6
2023-02-07 18:33:12 [INFO] [SUCCESS]	[ID: 487009]  Title: SUPREME         	Price:22$	Link:https://bit.ly/3i0CODQ	Aff_link:https://s.click.aliexpress.com/e/_EylPAWN	Saved-> 	Images files:['487009', '487008', '487007']	img count: 2
2023-02-07 18:33:17 [INFO] [SUCCESS]	[ID: 487006]  Title: MLB NY bomber jack 	Price:76.79$	Link:https://bit.ly/3Y6qEJx	Aff_link:https://s.click.aliexpress.com/e/_EIHsfep	Saved-> 	Images files:['487006', '487005', '487004', '487003', '487002', '487001', '487000', '486999', '486998', '486997']	img count: 9
2023-02-07 18:33:23 [INFO] [SUCCESS]	[ID: 486996]  Title: SUPREME         	Price:26$	Link:https://bit.ly/3juH4Mc	Aff_link:https://s.click.aliexpress.com/e/_Ez9W0VL	Saved-> 	Images files:['486996', '486995', '486994', '486993', '486992', '486991', '486990', '486989', '486988']	img count: 8
2023-02-07 18:33:26 [INFO] [SUCCESS]	[ID: 486987]  Title: SUPREME         	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EGikFI1	Saved-> 	Images files:['486987', '486986', '486985', '486984']	img count: 3
2023-02-07 18:33:31 [INFO] [SUCCESS]	[ID: 486983]  Title: Vans sweater    	Price:61.19$	Link:https://bit.ly/3DF7nGR	Aff_link:https://s.click.aliexpress.com/e/_Ex5gkwH	Saved-> 	Images files:['486983', '486982', '486981', '486980', '486979', '486978', '486977', '486976', '486975']	img count: 8
2023-02-07 18:33:37 [INFO] [SUCCESS]	[ID: 486974]  Title: SUPREME         	Price:31$	Link:https://bit.ly/3VI88VW	Aff_link:https://s.click.aliexpress.com/e/_EGcP10H	Saved-> 	Images files:['486974', '486973', '486972', '486971', '486970', '486969', '486968']	img count: 6
2023-02-07 18:33:41 [INFO] [SUCCESS]	[ID: 486967]  Title: TNF             	Price:40$	Link:https://bit.ly/3ZcwFp5	Aff_link:https://s.click.aliexpress.com/e/_EQSH7Px	Saved-> 	Images files:['486967', '486966', '486965', '486964', '486963']	img count: 4
2023-02-07 18:33:48 [INFO] [SUCCESS]	[ID: 486962]  Title: MLB NY jacket   	Price:61.19$	Link:https://bit.ly/3JGJeDp	Aff_link:https://s.click.aliexpress.com/e/_EJPV1Y5	Saved-> 	Images files:['486962', '486961', '486960', '486959', '486958', '486957', '486956', '486955']	img count: 7
2023-02-07 18:33:52 [INFO] [SUCCESS]	[ID: 486954]  Title: SUPREME         	Price:27$	Link:https://bit.ly/3IcWeQx	Aff_link:https://s.click.aliexpress.com/e/_EyhrDiZ	Saved-> 	Images files:['486954', '486953', '486952', '486951', '486950']	img count: 4
2023-02-07 18:33:55 [INFO] [SUCCESS]	[ID: 486949]  Title: SUPREME         	Price:27$	Link:https://bit.ly/3IcWeQx	Aff_link:https://s.click.aliexpress.com/e/_EySJYYZ	Saved-> 	Images files:['486949', '486948', '486947', '486946']	img count: 3
2023-02-07 18:34:04 [INFO] [SUCCESS]	[ID: 486945]  Title: NIKE            	Price:80$	Link:https://bit.ly/3WX9M75	Aff_link:https://s.click.aliexpress.com/e/_EyMQFxx	Saved-> 	Images files:['486945', '486944', '486943', '486942', '486941', '486940', '486939', '486938', '486937', '486936']	img count: 9
