2023-02-08 22:54:33 [INFO] [SUCCESS]	[ID: 487508]  Uploaded in: Feb 08, 18:30:49 	Title: UA              	Price:19.90$	Link:https://shp.pub/6lsqzi	Aff_link:https://s.click.aliexpress.com/e/_EzEOz3j	Saved-> 	Image files:['487508', '487507', '487506', '487505', '487504', '487503', '487502']	img count: 7
2023-02-08 22:54:41 [INFO] [SUCCESS]	[ID: 487501]  Uploaded in: Feb 08, 18:15:16 	Title: TNF             	Price:36.90$	Link:https://shp.pub/6lsqrx	Aff_link:https://s.click.aliexpress.com/e/_EJ4vFTT	Saved-> 	Image files:['487501', '487500', '487499', '487498', '487497', '487496', '487495', '487494', '487493', '487492']	img count: 10
2023-02-08 22:54:49 [ERROR] [FAILED]	[ID: 487491]  Uploaded in: Feb 08, 18:00:31 	Title: Marc Jacobs     	Price:26.9$	Link:https://shp.pub/6lracn	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487491', '487490', '487489', '487488', '487487', '487486', '487485', '487484', '487483', '487482']	img count: 10
2023-02-08 22:54:56 [INFO] [SUCCESS]	[ID: 487481]  Uploaded in: Feb 08, 17:30:09 	Title: PALM ANGELS     	Price:60$	Link:https://bit.ly/3Gv9a2Q	Aff_link:https://s.click.aliexpress.com/e/_EzIyTZB	Saved-> 	Image files:['487481', '487480', '487479', '487478', '487477', '487476', '487475', '487474', '487473']	img count: 9
2023-02-08 22:54:58 [ERROR] [FAILED]	[ID: 487472]  Uploaded in: Feb 08, 17:15:33 	Title: Follow our Look Ch 	Price:$	Link:https://bestallie.x.yupoo.com/	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487472']	img count: 1
2023-02-08 22:55:04 [INFO] [SUCCESS]	[ID: 487471]  Uploaded in: Feb 08, 17:00:29 	Title: PALM ANGELS     	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EvrKDIZ	Saved-> 	Image files:['487471', '487470', '487469', '487468', '487467', '487466', '487465']	img count: 7
2023-02-08 22:55:09 [INFO] [SUCCESS]	[ID: 487464]  Uploaded in: Feb 08, 16:30:37 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_ExiH9Jb	Saved-> 	Image files:['487464', '487463', '487462', '487461', '487460']	img count: 5
2023-02-08 22:55:10 [ERROR] [FAILED]	[ID: 487459]  Uploaded in: Feb 08, 16:15:14 	Title: Follow secrect bra 	Price:$	Link:https://t.me/joinchat/FVE33KPWkWBlMDIy	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487459']	img count: 1
2023-02-08 22:55:15 [INFO] [SUCCESS]	[ID: 487458]  Uploaded in: Feb 08, 16:00:21 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EJ1Fbx3	Saved-> 	Image files:['487458', '487457', '487456', '487455', '487454', '487453', '487452']	img count: 7
2023-02-08 22:55:19 [INFO] [SUCCESS]	[ID: 487451]  Uploaded in: Feb 08, 15:30:15 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EuA2dYl	Saved-> 	Image files:['487451', '487450', '487449', '487448', '487447', '487446']	img count: 6
2023-02-08 22:55:24 [INFO] [SUCCESS]	[ID: 487445]  Uploaded in: Feb 08, 15:15:14 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EzsXvfT	Saved-> 	Image files:['487445', '487444', '487443', '487442', '487441', '487440', '487439']	img count: 7
2023-02-08 22:55:30 [INFO] [SUCCESS]	[ID: 487438]  Uploaded in: Feb 08, 15:00:41 	Title: PALM ANGELS     	Price:26$	Link:https://bit.ly/3juH4Mc	Aff_link:https://s.click.aliexpress.com/e/_EH2SyyD	Saved-> 	Image files:['487438', '487437', '487436', '487435', '487434', '487433', '487432']	img count: 7
2023-02-08 22:55:34 [INFO] [SUCCESS]	[ID: 487431]  Uploaded in: Feb 08, 14:30:29 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EjveHWt	Saved-> 	Image files:['487431', '487430', '487429', '487428', '487427', '487426', '487425', '487424']	img count: 8
2023-02-08 22:55:39 [INFO] [SUCCESS]	[ID: 487423]  Uploaded in: Feb 08, 14:15:15 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EuBmUyt	Saved-> 	Image files:['487423', '487422', '487421', '487420', '487419', '487418']	img count: 6
2023-02-08 22:55:43 [INFO] [SUCCESS]	[ID: 487417]  Uploaded in: Feb 08, 14:00:20 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EHbA16p	Saved-> 	Image files:['487417', '487416', '487415', '487414', '487413', '487412']	img count: 6
2023-02-08 22:55:52 [ERROR] [FAILED]	[ID: 487411]  Uploaded in: Feb 08, 13:30:21 	Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link		Saved-> 	Image files:['487411', '487410', '487409', '487408', '487407', '487406', '487405', '487404', '487403', '487402']	img count: 10
2023-02-08 22:55:57 [INFO] [SUCCESS]	[ID: 487401]  Uploaded in: Feb 08, 13:15:15 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EyhXY7R	Saved-> 	Image files:['487401', '487400', '487399', '487398', '487397', '487396']	img count: 6
