2023-02-08 23:07:12 [INFO] [SUCCESS]	[ID: 487518]  Uploaded in: Feb 08, 20:00:27 	Title: TODS            	Price:76.60$	Link:https://shp.pub/6lsrdi	Aff_link:https://s.click.aliexpress.com/e/_EjQLPeD	Saved-> 	Image files:['487518', '487517', '487516', '487515', '487514', '487513', '487512', '487511', '487510', '487509']	img count: 10
2023-02-08 23:07:19 [INFO] [SUCCESS]	[ID: 487508]  Uploaded in: Feb 08, 18:30:49 	Title: UA              	Price:19.90$	Link:https://shp.pub/6lsqzi	Aff_link:https://s.click.aliexpress.com/e/_EH7A9hn	Saved-> 	Image files:['487508', '487507', '487506', '487505', '487504', '487503', '487502']	img count: 7
2023-02-08 23:07:24 [INFO] [SUCCESS]	[ID: 487501]  Uploaded in: Feb 08, 18:15:16 	Title: TNF             	Price:36.90$	Link:https://shp.pub/6lsqrx	Aff_link:https://s.click.aliexpress.com/e/_EJlK7L7	Saved-> 	Image files:['487501', '487500', '487499', '487498', '487497', '487496', '487495', '487494', '487493', '487492']	img count: 10
2023-02-08 23:07:29 [ERROR] [FAILED]	[ID: 487491]  Uploaded in: Feb 08, 18:00:31 	Title: Marc Jacobs     	Price:26.9$	Link:https://shp.pub/6lracn	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487491', '487490', '487489', '487488', '487487', '487486', '487485', '487484', '487483', '487482']	img count: 10
2023-02-08 23:07:34 [INFO] [SUCCESS]	[ID: 487481]  Uploaded in: Feb 08, 17:30:09 	Title: PALM ANGELS     	Price:60$	Link:https://bit.ly/3Gv9a2Q	Aff_link:https://s.click.aliexpress.com/e/_EyIomYv	Saved-> 	Image files:['487481', '487480', '487479', '487478', '487477', '487476', '487475', '487474', '487473']	img count: 9
2023-02-08 23:07:36 [ERROR] [FAILED]	[ID: 487472]  Uploaded in: Feb 08, 17:15:33 	Title: Follow our Look Ch 	Price:$	Link:https://bestallie.x.yupoo.com/	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487472']	img count: 1
2023-02-08 23:07:40 [INFO] [SUCCESS]	[ID: 487471]  Uploaded in: Feb 08, 17:00:29 	Title: PALM ANGELS     	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EvAK5s9	Saved-> 	Image files:['487471', '487470', '487469', '487468', '487467', '487466', '487465']	img count: 7
2023-02-08 23:07:43 [INFO] [SUCCESS]	[ID: 487464]  Uploaded in: Feb 08, 16:30:37 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EyMI5Qv	Saved-> 	Image files:['487464', '487463', '487462', '487461', '487460']	img count: 5
2023-02-08 23:07:44 [ERROR] [FAILED]	[ID: 487459]  Uploaded in: Feb 08, 16:15:14 	Title: Follow secrect bra 	Price:$	Link:https://t.me/joinchat/FVE33KPWkWBlMDIy	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487459']	img count: 1
2023-02-08 23:07:48 [INFO] [SUCCESS]	[ID: 487458]  Uploaded in: Feb 08, 16:00:21 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EyQgOQd	Saved-> 	Image files:['487458', '487457', '487456', '487455', '487454', '487453', '487452']	img count: 7
2023-02-08 23:07:52 [INFO] [SUCCESS]	[ID: 487451]  Uploaded in: Feb 08, 15:30:15 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EuGiDZR	Saved-> 	Image files:['487451', '487450', '487449', '487448', '487447', '487446']	img count: 6
2023-02-08 23:07:56 [INFO] [SUCCESS]	[ID: 487445]  Uploaded in: Feb 08, 15:15:14 	Title: PALM ANGELS     	Price:47$	Link:https://bit.ly/3IcM2r9	Aff_link:https://s.click.aliexpress.com/e/_EHnWdlX	Saved-> 	Image files:['487445', '487444', '487443', '487442', '487441', '487440', '487439']	img count: 7
2023-02-08 23:08:00 [INFO] [SUCCESS]	[ID: 487438]  Uploaded in: Feb 08, 15:00:41 	Title: PALM ANGELS     	Price:26$	Link:https://bit.ly/3juH4Mc	Aff_link:https://s.click.aliexpress.com/e/_EGaSjYH	Saved-> 	Image files:['487438', '487437', '487436', '487435', '487434', '487433', '487432']	img count: 7
2023-02-08 23:08:04 [INFO] [SUCCESS]	[ID: 487431]  Uploaded in: Feb 08, 14:30:29 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EIglwI9	Saved-> 	Image files:['487431', '487430', '487429', '487428', '487427', '487426', '487425', '487424']	img count: 8
2023-02-08 23:08:08 [INFO] [SUCCESS]	[ID: 487423]  Uploaded in: Feb 08, 14:15:15 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EvadD5P	Saved-> 	Image files:['487423', '487422', '487421', '487420', '487419', '487418']	img count: 6
2023-02-08 23:08:12 [INFO] [SUCCESS]	[ID: 487417]  Uploaded in: Feb 08, 14:00:20 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EHbqkjJ	Saved-> 	Image files:['487417', '487416', '487415', '487414', '487413', '487412']	img count: 6
2023-02-08 23:08:17 [ERROR] [FAILED]	[ID: 487411]  Uploaded in: Feb 08, 13:30:21 	Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link			Saved-> 	Image files:['487411', '487410', '487409', '487408', '487407', '487406', '487405', '487404', '487403', '487402']	img count: 10
2023-02-08 23:08:21 [INFO] [SUCCESS]	[ID: 487401]  Uploaded in: Feb 08, 13:15:15 	Title: PALM ANGELS     	Price:25$	Link:https://bit.ly/3Z0jS8T	Aff_link:https://s.click.aliexpress.com/e/_EyRBN9n	Saved-> 	Image files:['487401', '487400', '487399', '487398', '487397', '487396']	img count: 6
2023-02-08 23:08:25 [INFO] [SUCCESS]	[ID: 487395]  Uploaded in: Feb 08, 13:00:27 	Title: PALM ANGELS     	Price:27$	Link:https://bit.ly/3IcWeQx	Aff_link:https://s.click.aliexpress.com/e/_Ewsf0mH	Saved-> 	Image files:['487395', '487394', '487393', '487392', '487391', '487390', '487389']	img count: 7
2023-02-08 23:08:28 [INFO] [SUCCESS]	[ID: 487388]  Uploaded in: Feb 08, 12:30:30 	Title: TNF             	Price:40$	Link:https://bit.ly/3ZcwFp5	Aff_link:https://s.click.aliexpress.com/e/_EzaMyWz	Saved-> 	Image files:['487388', '487387', '487386', '487385', '487384']	img count: 5
2023-02-08 23:08:32 [INFO] [SUCCESS]	[ID: 487383]  Uploaded in: Feb 08, 12:15:35 	Title: BOSS            	Price:95$	Link:https://bit.ly/3WAL4JS	Aff_link:https://s.click.aliexpress.com/e/_EIU7idL	Saved-> 	Image files:['487383', '487382', '487381', '487380', '487379']	img count: 5
2023-02-08 23:08:37 [INFO] [SUCCESS]	[ID: 487378]  Uploaded in: Feb 08, 12:00:33 	Title: RB glasses      	Price:21.49$	Link:https://shp.pub/6lsk5q	Aff_link:https://s.click.aliexpress.com/e/_Eyh0eLf	Saved-> 	Image files:['487378', '487377', '487376', '487375', '487374', '487373']	img count: 6
2023-02-08 23:08:41 [ERROR] [FAILED]	[ID: 487372]  Uploaded in: Feb 08, 11:30:20 	Title: LV              	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link			Saved-> 	Image files:['487372', '487371', '487370', '487369', '487368', '487367']	img count: 6
2023-02-08 23:08:45 [INFO] [SUCCESS]	[ID: 487366]  Uploaded in: Feb 08, 11:15:12 	Title: PALM ANGELS     	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EvV7uXr	Saved-> 	Image files:['487366', '487365', '487364', '487363', '487362', '487361']	img count: 6
2023-02-08 23:08:49 [INFO] [SUCCESS]	[ID: 487360]  Uploaded in: Feb 08, 11:00:17 	Title: PALM ANGELS     	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EwRCQHb	Saved-> 	Image files:['487360', '487359', '487358', '487357', '487356', '487355', '487354', '487353']	img count: 8
2023-02-08 23:08:54 [INFO] [SUCCESS]	[ID: 487352]  Uploaded in: Feb 08, 10:30:09 	Title: PALM ANGELS     	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EGV6dn7	Saved-> 	Image files:['487352', '487351', '487350', '487349', '487348', '487347', '487346', '487345', '487344']	img count: 9
2023-02-08 23:08:58 [ERROR] [FAILED]	[ID: 487343]  Uploaded in: Feb 08, 10:15:09 	Title: PALM ANGELS     	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link			Saved-> 	Image files:['487343', '487342', '487341', '487340', '487339', '487338', '487337']	img count: 7
